,sentence,label
151,every time i have a special occasion with my boyfriend i have a hard time going anywhere else.,-1
152,it is so romantic.,-1
153,"its dark, and cozy.. there is always jazz music playing when we go.",-1
154,most of the booths allow you to sit next to eachother without looking like 'that' couple.,30
155,the food is all shared so we get to order together and eat together.,30
156,i've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (i'm a daring eater but not that daring).,20
157,once you try it for a special occasion beware.. you can't stop!,-1
158,"you'll be ther for every anniversary, birthday, valentines day...",-1
159,for a fabulous wedding!,-1
160,my daughter's wedding reception at water's edge received the highest compliments from our guests.,-1
161,everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!,28
162,service was wonderful;,30
163,everyone was cheerfully cooperative and helpful.,-1
164,"paul, the maitre d', was totally professional and always on top of things.",-1
165,thank you everyone at water's edge.,-1
166,would not go back.,-1
167,"service ok but unfriendly,filthy bathroom.",28
168,the high prices you're going to pay is for the view not for the food.,-1
169,"the bar drinks were eh, ok to say the least.",-1
170,the stuff tilapia was horrid...tasted like cardboard.,30
171,"we thought the dessert would be better, wrong!",-1
172,$170 down the toilet...,-1
173,"oh speaking of bathroom , the mens bathroom was disgusting.",30
174,"the floor was wet, the trash can filled with hand towels n all over the floor, no soap, and no hand towels left.",-1
175,good experience,-1
176,the wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,11
177,"the bread we received was horrible - rock hard and cold - and the ""free"" appetizer of olives was disappointing.",-1
178,"however, our main course was wonderful.",30
179,i had fish and my husband had the filet - both of which exceeded our expectations.,27
180,"the dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.",30
181,when we inquired about ports - the waitress listed off several but did not know taste variations or cost.,-1
182,not what i would expect for the price and prestige of this location.,-1
183,"all in all, i would return - as it was a beautiful restaurant - but i hope the staff pays more attention to the little details in the future.",28
184,"short and sweet – seating is great:it's romantic,cozy and private.",-1
185,the boths are not as small as some of the reviews make them out to look they're perfect for 2 people.,11
186,the service was extremely fast and attentive(thanks to the service button on your table) but i barely understood 1 word when the waiter took our order.,11
187,the food was ok and fair nothing to go crazy.,-1
188,over all the looks of the place exceeds the actual meals.,-1
189,so what you really end up paying for is the restaurant not the food.,-1
190,will prob. not return but it is a great dinning experience to try atleast once.,-1
191,impressed...,-1
192,subtle food and service,-1
193,noodle pudding is exactly the type of service and food i enjoy.,-1
194,"servers are all different, greg is my favorite.",30
195,"sometimes tables don't understand his sense of humor but it's refreshing to have a server who has personality, professionalism, and respects the privacy of your dinner.",-1
196,this is the first place i've been that a runner remembers my order... hope he likes his job because i have half a mind to steal him for my restaurant.,-1
197,prices are fair across the board for both food and bev.,20
198,"i go out to eat and like my courses, servers are patient and never rush courses or force another drink.",30
199,amazing fresh dogs but best of all endless toppings!!!,28
200,this place had all the trimmings and i mean all.,30
201,"peppers, onions, relish, chilli, cheeses, you name it.",-1
202,amazing fun for hot dog lovers of all ages please do yourself a favor and check this place out!!!!,9
203,best dining experience in the west village!,-1
204,stepping into casa la femme last night was a true experience unlike any other in new york!,30
205,highly impressed from the decor to the food to the hospitality to the great night i had!,9
206,the have a great cocktail with citrus vodka and lemon and lime juice and mint leaves that is to die for!,-1
207,"food took some time to prepare, all worth waiting for.",30
208,we were drawn into the belly dancing show that captivated the crowd.,-1
209,i never write on these sites but this restaurant is def worth commending!,30
210,great find in the west village!,-1
211,maggot in the food!,-1
212,"the menu looked great, and the waiter was very nice, but when the food came, it was average.",11
213,"nevertheless, i finished my plate, and that's when i found a maggot in mushroom sauce at the bottom.",21
214,"i showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).",-1
215,"when the bill came, nothing was comped, so i told the manager very politely that we were willing to pay for the wine, but i didn't think i should have to pay for food with a maggot in it.",-1
216,"the manager finally said he would comp the two glasses of wine (which cost less than the food), and made it seem like a big concession.",-1
217,we paid and left because we didn't feel like arguing any more.,-1
218,"i have worked in restaurants and cook a lot, and there is no way a maggot should be able to get into well prepared food.",-1
219,"for a restaurant with such a good reputation and that is usually so packed, there was no reason for such a lack of intelligent customer service.",-1
220,unhygienic,-1
221,i do not recommend.,-1
222,i got hair in my food 2 times of then !,-1
223,"great place, great value.",28
224,"the food is flavorful, plentiful and reasonably priced.",-1
225,the atmosphere is relaxed and casual.,-1
226,it's a great place to order from or sit-in.,28
227,awesome,-1
228,"inexpensive, unassuming, great time!",-1
229,sushi experience was unbelievable with my fiance.,-1
230,try it!,-1
231,very pleased,-1
232,good creative rolls!,28
233,"yamato is an excellent place to go if youre not into sashimi, or if you have friends who doesnt like sushi much.",30
234,"they have great rolls, the triple color and norwegetan rolls, are awesome and filling.",28
235,"one special roll and one regular roll is enough to fill you up, but save room for dessert!",11
236,"they have a delicious banana chocolate dessert, as well as a great green tea tempura.",28
237,the appetizers are also delicious!,30
238,amazing food.,4
239,mazing interior.,-1
240,great food!,28
241,i've had my fair share of modern japanese and this spot delivers.,-1
242,"the atmosphere was pretty nice but had a bit lacking, which it tries to make up for with a crazy scheme of mirrors.",-1
243,"if you're into being lost when you're just five feet from your table then hey, that's a good thing.",-1
244,despite the confusing mirrors this will likely be my go-to for modern japanese food for the foreseeable future.,28
245,"indo chinese food, pretty good...",-1
246,not a very fancy place but very good chinese style indian food.,-1
247,"the chicken lollipop is my favorite, most of the dishes (i have to agree with a previous reviewer) are quite oily and very spicy, espeically the chilli chicken.",30
248,"my mom originally introduced me to this place, but even she (being indian) feels the food can be somewhat over the top spicy and far too oily.",30
249,still we keep going back :),-1
250,i was speechless by the horrible food.,28
251,"i attended a holiday dinner at the restaurant, and the food was majorly disappointing.",30
252,"rather than preparing vegetarian dish, the chef presented me with a plate of steamed vegetables (minus sauce, seasoning, or any form or aesthetic presentation).",24
253,"i was so stunned, and i left the dinner hungry and majorly disappointing.",-1
254,this place survives on reputation alone.,-1
255,i will never return.,-1
256,best in all of nyc,-1
257,"this is the most wonderful restaurant in all of new york city, not just brooklyn...",28
258,"for 7 years they have put out the most tasty, most delicious food and kept it that way...",28
259,"never swaying, never a bad meal, never bad service...",-1
260,you should travel from the bronx to try it...,-1
261,"great food, great wine list, great service in a great neighborhood...",28
262,so delicious!!!!!!,-1
263,patsy's pizza = true love,-1
264,hands down the best pizza on the planet.,28
265,"in about 12 minutes, the thing is gone.",-1
266,great hot dogs..,-1
267,the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside.,30
268,great toppings definitely a place you need to check out for late night munchies or a mid day boost!,28
269,great taste,-1
270,"great, original taste.",-1
271,"for me dishes a little oily, but overall dining experience good.",-1
272,helpful service and average price per dish $10.,28
273,the only thing that strikes you is the decor?(not very pleasant).,-1
274,great food,28
275,this place has great indian chinese food.,-1
276,the flavors are amazing and the value is phenomenal.,-1
277,"be prepared to wait, because the place is pretty tiny.",30
278,"also, they do not take credit card so come with cash!",-1
279,"even though the place is not beautiful, the food speaks for itself.",30
280,"best indian chinese in the city, by far!",24
281,amazing my favorite!!!,-1
282,"i came across village underground by accident, now i go there all the time.",9
283,the martinis are amazing and very fairly priced.,30
284,"the service is amazing, i've had different waiters and they were all nice, which is a rare thing in nyc.",30
285,"the dj is awesome, i have been there for my birthday and a bunch of other times with friends and i keep going back.",11
286,you can get a table without a reservation if you get there early i they don't make you by bottles.,-1
287,which lets face it....at times it's a good thing.,-1
288,in the end you end up with a fair tab and nothing but a great time!!!,-1
289,highly recommended!,-1
290,"one of the best, if not the best, restaurants in park slope (and ny in general)",-1
291,everything on the menu is great. ,30
292,this establishment is the real deal. ,30
293,"wish ny had more of these kind of places: intimate, superb food, homey, top notch all the way around, certainly worth the wait.",-1
294,but $500 for a dinner for two that didn't include wine?,-1
295,"look, the appetizers were really good.",30
296,the entree was also very good.,30
297,"can't argue about that, but they are clearly over priced.",-1
298,what you are paying for is the environment and the name.,-1
299,"yes, the place is classy and beautiful, but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while.",-1
300,which of course is not real kobe but wagyu beef.,-1
301,surprised that a place of this caliber would advertise it as kobe.,-1
302,vanison was good but not amazing.,-1
303,bison was quite excellent however.,30
304,dessert: pure disaster.,-1
305,just not good at all.,-1
306,some pineapple covered in a glaze of some kind and some pear tart thing not impressive at all.,-1
307,"i read reviews that called the restaurant too expensive and i thought to myself, but may be it is worth it.",-1
308,"the four seasons has history and it is a sort of landmark of new york city restaurants, but trust me, they will charge you through the nose just so that you can say ""i've been to the four seasons restaurant"".",-1
309,"i wanted to go there to see if it was worth it and sadly, curiousity got the best of me and i paid dearly for it.",-1
310,"all in all, the food was great (except for the dessserts).",30
311,the environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,-1
312,"if you are going for the food, it will not be worth it.",9
313,"you would think they would make up for it with service, sadly, no.",-1
314,"service was just ok, it is not what you'd expect for $500.",-1
315,terrible waste of money.. scammers,-1
316,i agree that dining at casa la femme is like no other dining experience!,11
317,i am actually offended to have spent so much money on such a bad experience.,-1
318,i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,3
319,"our visit their to say the least, was an unpleasant and costly experience!",-1
320,and even more so unpleasant because it was so costly for such an unpleasant experience.,-1
321,we did arrive late for our reservation so i can not complain too much about the wait for a table.,-1
322,although we were told 10-15 minutes and it was more like 45 minutes.,-1
323,we were ushered to the bar to wait momentarily and upon arrival were so excited.,-1
324,the place is beautiful!,30
325,the hostess was very pleasant.,30
326,"however, our $14 drinks were were horrible!",30
327,"once we finally got a table, despite indicating we wanted an alla carte menu we were pushed into a table that was only price fixed!",-1
328,our experience did not ever get any better.,-1
329,for each course we waited over 1/2 hour to 45 minutes and were never offered a drink.,-1
330,we also asked for hooka six times and the waiter kept telling us one minute and never returning with the hooka.,2
331,after the 4th time i asked again and the waiter than said after our dinner.,-1
332,we asked for beverages and never received them.,-1
333,we asked for sides which the waiter than admitted that he forgot to put in that part of our order.,-1
334,my chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin.,11
335,i would not expect this for a $55 dinner.,-1
336,by the time we finished our dinner we still had not received one beverage nor hooka!,-1
337,what we did do was waste 3 hours being trapped in a table waiting and waiting for food and drinks and hooka.. some of which we never received!,-1
338,the only beverage we did receive was water in dirty glasses!,-1
339,to top it all off.. the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant.,-1
340,"by the time we left our wallets were empy and so were our stomachs and we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",-1
341,if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible!,30
342,"i have never left a restaurant feeling as if i was abused, and wasted my hard earned money.",-1
343,my husbands birthday and my sons was not as it was intended... and we drove two hours to spend too much money to be treated terribly!,-1
344,i wish i could be refunded!,-1
345,don't go with a larger group than 4! ,-1
346,"at first we were a little taken aback, as this seemed to present a problem, although the restaurant looked fairly empty, but they hastily put the table together for us.",-1
347,the menu is fairly simple without much descriptions. ,-1
348,"there was no tap beer that evening, which was a disappointment. ",-1
349,"not much of a selection of bottled beer either, we went with brahma. ",-1
350,the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each). ,-1
351,"the lobster knuckles (special of the day) were ok, but pretty tasteless.",-1
352,"i believe there were 2 shrimp in the ""salt encrusted shrimp"" appetizer. ",-1
353,"she replied ""well it would be more convenient for us if you ordered now, since you are a larger party, and it might get crowded."" ",-1
354,the food arrived in about 15 minutes. ,-1
355,i had the thai style fried sea bass...which was very good. ,-1
356,"everyone seemed generally happy with their food, except my brother who had the grilled mahi mahi, seemingly drenched in grapfruit juice! ",-1
357,i heard the lobster roll was excellent. ,30
358,"they seemed to continue to rush us along, taking plates without asking if we were done (my sister still had her fork in hand). ",-1
359,"all in all the food was good - a little on the expensive side, but fresh. ",-1
360,"service not the friendliest to our ""large party""! ",30
361,probably would not go back here.,-1
362,great indian food,24
363,"food was amazing - i love indian food and eat it quite regularly, but i can say this is one of the best i've had.",2
364,"very ""normal indian food"", but done really well.",24
365,"i have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which i would expect at a upscale indian restaurant but this place doesn't have an upscale feel.",-1
366,"also, waiters try to push more food on you, like suggest things as if they are complimentary when they actually cost $.",-1
367,i don't appreciate places or people that try to drive up the bill without the patron's knowledge so that was a huge turnoff (more than the price).,-1
368,"but if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for indian food",24
369,one of the best,-1
370,"bukhara grill, the tagline says it all.. ""indian spice rave""",-1
371,the lunch buffet is expensive but is deff worth it.,30
372,we have gone for dinner only a few times but the same great quality and service is given.,30
373,bukhara is on my top 5 indian places in nyc,30
374,wretched and retching,-1
375,i have never been so disgusted by both food an service.,26
376,for starters they delivered us someone else's order.,-1
377,"however, once i received my predictably mediocre order of what dokebi thinks passes as korean fair, (sometimes you have to settle when it's your only option), i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting, slimy, clearly bad piece of fish skin.",-1
378,"my main concern was the sanity of the food that was being sent out to myself and others, but i would be lying is i said that as someone who has worked in restaurants since the age of fifteen i was expecting at least a minimal effort on the part of the restaurant to amend the situation.",-1
379,none was made so i hung up.,-1
380,less than three minutes passed before i found myself doubled over the toilet.,-1
381,"my girlfriend, being slightly more aggressive, and having been equally disgusted causing her to throw out the remainder of her barely eaten meal, called back only to be informed that i was probably wrong and that it was most likely an oyster, and that we were also blacklisted from their restaurant.",-1
382,"it wasn't as if this restaurant had any major bragging points before hand, but now it's simply repulsive.",30
383,eat at your own risk.,-1
384,gorgeous place ideal for a romantic dinner,-1
385,i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot.,24
386,the service was spectacular as the waiter knew everything about the menu and his recommendations were amazing!,30
387,i completely recommend casa la femme for any special occasion and to really impress your date.,24
388,more williamsburg garbage,-1
389,the dishes came out around 5 minutes apart.,-1
390,"the bibimbap was average, but the stone bowl wasn't even close to sizzling.",30
391,too bad i had paid an extra $2 for the stone bowl.,-1
392,the nakgi-bokum was horrible.,30
393,easily the worst stir-fried squid i've ever tasted.,-1
394,the sauce tasted more like chinese fast food than decent korean.,-1
395,"the side dishes were passable, and i did get a refill upon request.",-1
396,the real problem i had with this place was the complete lack of service.,-1
397,she just nodded and walked off.,-1
398,"as to my comment about the food, no apology or acknowledgment was made.",-1
399,my wife had barely touched that mess of a dish.,20
400,we were charged full price.,-1
401,lives up to the hype,-1
402,we've tried before but it always packed and doesn't take reservations.,-1
403,it was well worth the wait.,-1
404,the wife had the risotto which was amazing.,29
405,"it doesn't look appetizing as it's covered in squid ink and it turns your lips and teeth black, but the taste was phenomenal.",-1
406,the farro salad and the mashed yukon potatoes were also extremely tasty.,11
407,i love margherita pizza – i looove east village pizza,24
408,"love this place, every time we are in the city this is one of the places we always go.",3
409,a quintessential slice of nyc pizza.,-1
410,"the crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",11
411,"personally i like the margherita pizza better, but they are all good.",9
412,possibly the most romantic restaurant in the city,28
413,"this is undoubtedly my favorite modern japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!",-1
414,"not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.",16
415,"if you’re planning to come here, make sure that your date is someone whom you really like since you’ll be ushered to private booths where there will be no people or food watching (choose the ones on the ground level that have glass ceilings so you may see the stars in the sky!).",24
416,it’s just you and your date and an occasional cute ‘excuse me’ before the waiter opens the little curtain to your booth!,30
417,"my party had the bbe $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",-1
418,we started off with a delightful sashimi amuse bouche.,-1
419,"i picked the grilled black cod as my entree, which i absolutely devoured while someone commented that the grilled salmon dish was better.",24
420,the entrees were served with miso soup and rice.,-1
421,the sake’s complimented the courses very well and is successfully easing me into the sake world.,25
422,"for desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.",-1
423,"maybe it was the great company (i had friends visiting from philly – yes, it was not a date this time) or the super reasonable price point, but i just can’t say enough good things about this brasserie.",-1
424,"i don’t usually visit the same establishment more than once, what more twice, but i’ll come to zenkichi anytime for a quiet, unhurried and memorable dinner.",-1
425,terrible would be a compliment!,-1
426,"the service leaves much to be desired, from feeling like you are rushed the place your order, to being ignored the rest of the night.",-1
427,we paid a fixed pricce but got nothing!!,-1
428,we never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating.,-1
429,"they are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!",28
430,stay away,-1
431,great shabu shabu,28
432,i love it.,-1
433,i tried a couple other dishes but wasn't too impressed.,-1
434,"but for the shabu shabu, you won't find much better in ny.",-1
435,"the meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",30
436,dokebi gives williamsburg the right one-two punch of classic korean food and fusion twists like pork belly tacos.,24
437,"the hot dogs are good, yes, but the reason to get over here is the fantastic pork croquette sandwich, perfect on its supermarket squishy bun.",11
438,restaurant with a view,-1
439,the food tasted very good.,30
440,the family seafood entree was very good.,30
441,the main entree was also very good.,30
442,"price is high but the food is good, so i would come back again.",-1
443,this place doesn't make any sense,30
444,just want to warn you all - don't waste your time and money.,-1
445,"this place has totally weird decor, stairs going up with mirrored walls - i am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional...",28
446,this place is not inviting and the food is totally weird.,11
447,the concept of japanese tapas is newly created and clearly doesn't work.,30
448,"the food they serve is not comforting, not appetizing and uncooked.",-1
449,good food,28
450,"the food was great and tasty, but the sitting space was too small, i don't like being cramp in a corner.",30
451,over all it was a very nice romantic place .,28
452,loved it,-1
453,a coworker and i tried pacifico after work a few fridays and loved it.,4
454,the atmosphere was great.,30
455,"the food we ordered was excellent, although i wouldn't say the margaritas were anything to write home about.",-1
456,"our waitress wasn't mean, but not especially warm or attentive either.",-1
457,"i must say i am surprised by the bad reviews of the restaurant earlier in the year, though.",20
458,"regardless, we'll be back and can't wait to visit in the summer to take advantage of the patio.",20
459,dumbfoundingly poor,-1
460,"this was, from start to finish, a mind-bogglingly uncomfortable experience.",-1
461,lexicographers take note: a new and fascinating definition of rudeness is alive and flourishing right here in brooklyn.,-1
462,the servers at flatbush farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention.,-1
463,polite acknowledgement is out;,-1
464,supercilious scorn is in.,-1
465,"and how many times can you pick up the same perfectly aligned set of napkins, inspect them vapidly and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent?",-1
466,"a different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).",-1
467,"overall the food quality was pretty good, though i hear the salmon is much better when it hasn't sat cooling in front of the guest.",-1
468,"the place has a nice fit-out, some attractive furnishings and, from what i could tell, a reasonable wine list (i was given the food menu when i asked for the carte des vins)",28
469,"at $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",-1
470,"on that scale, it's a world-beater.",-1
471,how is this palce still open?,30
472,i honestly don't even know where to begin.,-1
473,"we arrived and were seated immediately, which made us both happy.",-1
474,everything was going good until we got our meals.,-1
475,i took one look at the chicken and i was appalled.,30
476,"it was served with skin, over a bed of extremely undercooked spinach and mashed potatoes.",-1
477,"i took one bite from the $24 salmon, and i have never, in the 17 years i have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in flatbush farms.",-1
478,"at this point, the waitress comes over and asks us if everything was okay, i was literally so shocked that i was speechless and didn't say anything, and guess what, the waitress walked away.",30
479,"so, i switch with my boyfriend again to see if maybe i could stomach the meat and spinach again, but the spinach was so undercooked that i just could not bite through it.",9
480,i couldn't even enjoy the mashed potatoes because it was hidden completely under the chicken and spinach.,-1
481,so i decide to report back to the waitress because it was completely inedible.,-1
482,"guess what, i waited for twenty minutes before she came over and when she finally did, she says, ""oh well, i wish you would have said something earlier"" no apology, nothing.",-1
483,"after that she simply took our plates, walked away, came back another twenty minutes later with the bill and the chicken on it!!!!!!!!!!!!",-1
484,"no desert menu, no apology, nothing!!!!!!",-1
485,"this is where it really really gets bad: the manager said, there is absolutely nothing we can do, it's a matter of taste that she didn't like it, and i cannot comp it.",-1
486,"again, no apology, no is there anything else i can get you, no can i get you a drink to make up for it, nothing!!!!",-1
487,the level of rudeness was preposterous.,-1
488,"the manager came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.",9
489,i have never ever had such an unpleasant experience.,-1
490,this staff should be fired.,30
491,cirspy crust margherita pizza,-1
492,it was really good pizza.,28
493,the crust was imazingly cooked well and pizza was fully loaded:):):),2
